R,G,B,EX,LI,BF3,RF3,GF2
164.92,26.04,4.68,5000,R100,0.1,0.666666667,0.066666667
53.55,7.87,1.09,5000,R100,0.05,0.6,0.133333333
133.36,20.55,3.39,5000,R100,0.116666667,0.066666667,0.083333333
232.6,37.6,6.67,5000,R100,0.033333333,0.2,0.05
255,65.21,11.97,5000,R100,0.066666667,0.333333333,0.016666667
47.31,6.94,0.88,5000,R100,0.083333333,0.133333333,0.15
39.48,5.57,0.75,5000,R100,0.133333333,0.4,0.166666667
255,49.02,8.69,5000,R100,0.15,0.533333333,0.033333333
90.74,14.04,2.18,5000,R100,0.016666667,0.333333333,0.116666667
137.18,21.69,3.65,5000,R100,0.033333333,0.6,0.083333333
56.23,8.36,1.24,5000,R100,0.1,0.666666667,0.133333333
178.52,28.25,4.84,5000,R100,0.166666667,0.4,0.066666667
240.12,38.78,6.87,5000,R100,0.05,0.133333333,0.05
255,47.4,8.26,5000,R100,0.133333333,0.533333333,0.033333333
36.09,5.44,0.63,5000,R100,0.066666667,0.466666667,0.166666667
255,66.91,11.76,5000,R100,0.083333333,0.266666667,0.016666667
134.83,20.88,3.49,5000,R100,0.116666667,0.066666667,0.1
49.45,7.3,1.02,5000,R100,0.15,0.2,0.15
86.39,13.3,1.7,5000,R100,0.1,0.066666667,0.116666667
64.8,9.63,1.47,5000,R100,0.016666667,0.4,0.133333333
35.02,5.08,0.69,5000,R100,0.066666667,0.266666667,0.166666667
147.92,23.16,4,5000,R100,0.033333333,0.133333333,0.083333333
46.13,6.76,0.83,5000,R100,0.133333333,0.6,0.15
181.18,28.38,4.91,5000,R100,0.083333333,0.666666667,0.066666667
255,132.46,63.16,5000,R100,0.05,0.533333333,0.033333333
255,67.32,11.91,5000,R100,0.116666667,0.333333333,0.016666667
104.23,16.05,2.53,5000,R100,0.166666667,0.466666667,0.1
243.34,39.32,6.98,5000,R100,0.15,0.2,0.05
190.5,30.48,5.28,5000,R100,0.083333333,0.066666667,0.066666667
66.07,9.87,1.48,5000,R100,0.133333333,0.133333333,0.133333333
255,66.4,12.03,5000,R100,0.116666667,0.4,0.016666667
138.31,21.9,3.66,5000,R100,0.016666667,0.466666667,0.083333333
105.04,16.15,2.44,5000,R100,0.166666667,0.266666667,0.1
255,51.85,8.98,5000,R100,0.05,0.2,0.033333333
47.67,7.15,0.97,5000,R100,0.033333333,0.333333333,0.15
34.64,5.03,0.39,5000,R100,0.1,0.533333333,0.166666667
235.91,38.29,6.41,5000,R100,0.15,0.6,0.05
76.69,11.73,1.61,5000,R100,0.066666667,0.666666667,0.116666667
188.64,30.11,5.01,5000,R100,0.1,0.066666667,0.066666667
108.07,16.68,2.86,5000,R100,0.016666667,0.266666667,0.1
57.22,8.65,1.3,5000,R100,0.083333333,0.666666667,0.133333333
238.93,38.89,6.22,5000,R100,0.033333333,0.533333333,0.05
255,68.64,12.19,5000,R100,0.066666667,0.4,0.016666667
255,52.03,8.88,5000,R100,0.133333333,0.2,0.033333333
33.46,4.94,0.36,5000,R100,0.116666667,0.466666667,0.166666667
47.46,7.21,0.97,5000,R100,0.05,0.133333333,0.15
79.2,12.03,1.9,5000,R100,0.166666667,0.333333333,0.116666667
