R,G,B,EX,LI,3BF,3RF,2GF
0.1,3.02,7.12,10000,B100,0.133333333,0.6,0.15
0.63,6.93,12.64,10000,B100,0.083333333,0.666666667,0.066666667
4.49,24.52,50.13,10000,B100,0.05,0.533333333,0.033333333
18.3,72.13,205.98,10000,B100,0.116666667,0.333333333,0.016666667
1.08,6.58,19.12,10000,B100,0.166666667,0.466666667,0.1
6.1,21.72,75.93,10000,B100,0.15,0.2,0.05
39.23,129.85,255,10000,B100,0.083333333,0.066666667,0.066666667
13.24,43.56,160.25,10000,B100,0.133333333,0.133333333,0.133333333
6.06,25.36,68.06,10000,B100,0.116666667,0.4,0.016666667
6.2,34.64,73.46,10000,B100,0.016666667,0.466666667,0.083333333
5.08,19.97,69.47,10000,B100,0.166666667,0.266666667,0.1
27.33,108.92,255,10000,B100,0.05,0.2,0.033333333
8.02,36.28,95.43,10000,B100,0.033333333,0.333333333,0.15
0.87,6.65,15.8,10000,B100,0.1,0.533333333,0.166666667
0.94,6.71,15.98,10000,B100,0.15,0.6,0.05
0.58,5.72,10.84,10000,B100,0.066666667,0.666666667,0.116666667
33.17,108.55,255,10000,B100,0.1,0.066666667,0.066666667
16.67,72.88,193.14,10000,B100,0.016666667,0.266666667,0.1
0.52,4.76,9.72,10000,B100,0.083333333,0.666666667,0.133333333
4.62,25.25,50.93,10000,B100,0.033333333,0.533333333,0.05
8.99,40.99,100.81,10000,B100,0.066666667,0.4,0.016666667
14.31,49.7,167.01,10000,B100,0.133333333,0.2,0.033333333
0.91,6.04,16.49,10000,B100,0.116666667,0.466666667,0.166666667
20.14,73.92,238.4,10000,B100,0.05,0.133333333,0.15
2.9,12.45,41.31,10000,B100,0.166666667,0.333333333,0.116666667
0.4,4.09,10.63,10000,B100,0.15,0.6,0.083333333
15.3,62.18,180.88,10000,B100,0.033333333,0.2,0.133333333
1.93,9.84,24.33,10000,B100,0.083333333,0.466666667,0.166666667
9.29,47.94,110.44,10000,B100,0.016666667,0.4,0.066666667
35.92,121.43,255,10000,B100,0.066666667,0.066666667,0.1
3.05,12.71,41.05,10000,B100,0.15,0.333333333,0.15
19.79,64.74,231.95,10000,B100,0.133333333,0.133333333,0.05
0.78,5.55,14.51,10000,B100,0.166666667,0.533333333,0.083333333
14.51,56.14,166.43,10000,B100,0.1,0.266666667,0.016666667
0.12,3.2,6.43,10000,B100,0.116666667,0.666666667,0.116666667
2.69,15.84,29.04,10000,B100,0.05,0.6,0.033333333
12.59,45.76,152.82,20000,B100,0.166666667,0.266666667,0.116666667
11.55,60.96,127.8,20000,B100,0.016666667,0.466666667,0.1
1.57,10.64,19.75,20000,B100,0.1,0.666666667,0.066666667
1.85,14.05,25.54,20000,B100,0.05,0.6,0.133333333
54,166.17,255,20000,B100,0.116666667,0.066666667,0.083333333
59.55,227.88,255,20000,B100,0.033333333,0.2,0.05
31.14,130.41,255,20000,B100,0.066666667,0.333333333,0.016666667
32.69,115.03,255,20000,B100,0.083333333,0.133333333,0.15
4.98,21.35,61.76,20000,B100,0.133333333,0.4,0.166666667
4.74,21.29,51.55,20000,B100,0.15,0.533333333,0.033333333
83.45,255,255,20000,B100,0.016666667,0.333333333,0.116666667
5.2,30.28,56.16,20000,B100,0.033333333,0.6,0.083333333
0.61,6.03,11.88,20000,B100,0.1,0.666666667,0.133333333
5.46,22.09,64.96,20000,B100,0.166666667,0.4,0.066666667
67.54,242.5,255,20000,B100,0.05,0.133333333,0.05
3.49,17.36,38.75,20000,B100,0.133333333,0.533333333,0.033333333
4.41,23.19,54.93,20000,B100,0.066666667,0.466666667,0.166666667
30.61,121.27,255,20000,B100,0.083333333,0.266666667,0.016666667
64.35,201.28,255,20000,B100,0.116666667,0.066666667,0.1
14.12,47.78,172.24,20000,B100,0.15,0.2,0.15
51.81,164.24,255,20000,B100,0.1,0.066666667,0.116666667
13.9,67.15,157.84,20000,B100,0.016666667,0.4,0.133333333
14.37,57.61,168.54,20000,B100,0.066666667,0.266666667,0.166666667
70.01,250.83,255,20000,B100,0.033333333,0.133333333,0.083333333
0.85,6.8,15.51,20000,B100,0.133333333,0.6,0.15
2.19,13.83,25.72,20000,B100,0.083333333,0.666666667,0.066666667
9.71,49.01,101.5,20000,B100,0.05,0.533333333,0.033333333
36.69,141.97,255,20000,B100,0.116666667,0.333333333,0.016666667
2.87,13.86,38.72,20000,B100,0.166666667,0.466666667,0.1
12.73,43.47,151.79,20000,B100,0.15,0.2,0.05
78.16,249.85,255,20000,B100,0.083333333,0.066666667,0.066666667
26.4,86.47,255,20000,B100,0.133333333,0.133333333,0.133333333
12.4,50.2,135.97,20000,B100,0.116666667,0.4,0.016666667
13.8,68.47,147.97,20000,B100,0.016666667,0.466666667,0.083333333
11.64,39.85,136.15,20000,B100,0.166666667,0.266666667,0.1
55.78,211.94,255,20000,B100,0.05,0.2,0.033333333
16.24,72.49,189.23,20000,B100,0.033333333,0.333333333,0.15
2.27,13.75,32.51,20000,B100,0.1,0.533333333,0.166666667
2.79,13.24,31.47,20000,B100,0.15,0.6,0.05
1.6,11.54,22.33,20000,B100,0.066666667,0.666666667,0.116666667
67.4,212.6,255,20000,B100,0.1,0.066666667,0.066666667
33.46,142.5,255,20000,B100,0.016666667,0.266666667,0.1
1.36,10.01,19.97,20000,B100,0.083333333,0.666666667,0.133333333
9.6,50.26,101.08,20000,B100,0.033333333,0.533333333,0.05
18.57,81.14,201.48,20000,B100,0.066666667,0.4,0.016666667
28.46,98.7,255,20000,B100,0.133333333,0.2,0.033333333
2.54,12.75,33.23,20000,B100,0.116666667,0.466666667,0.166666667
40.65,145.65,255,20000,B100,0.05,0.133333333,0.15
6.47,24.92,81.19,20000,B100,0.166666667,0.333333333,0.116666667
1.56,8.81,21.4,20000,B100,0.15,0.6,0.083333333
31.12,122.69,255,20000,B100,0.033333333,0.2,0.133333333
3.9,19.74,49.76,20000,B100,0.083333333,0.466666667,0.166666667
19.84,95.51,217.52,20000,B100,0.016666667,0.4,0.066666667
72.51,235.24,255,20000,B100,0.066666667,0.066666667,0.1
6.52,25.4,80.39,20000,B100,0.15,0.333333333,0.15
39.41,127.94,255,20000,B100,0.133333333,0.133333333,0.05
2.15,11.55,29.3,20000,B100,0.166666667,0.533333333,0.083333333
29.42,110.95,255,20000,B100,0.1,0.266666667,0.016666667
1,6.78,13.75,20000,B100,0.116666667,0.666666667,0.116666667
5.74,32.14,59.54,20000,B100,0.05,0.6,0.033333333
25.51,89.79,255,40000,B100,0.166666667,0.266666667,0.116666667
23.97,119.33,250.74,40000,B100,0.016666667,0.466666667,0.1
3.95,21.83,40.01,40000,B100,0.1,0.666666667,0.066666667
4.52,27.58,49.93,40000,B100,0.05,0.6,0.133333333
107.24,255,255,40000,B100,0.116666667,0.066666667,0.083333333
121.93,255,255,40000,B100,0.033333333,0.2,0.05
63.66,248.88,255,40000,B100,0.066666667,0.333333333,0.016666667
66.41,222.26,255,40000,B100,0.083333333,0.133333333,0.15
10.27,43,121.51,40000,B100,0.133333333,0.4,0.166666667
10.01,42.81,102.59,40000,B100,0.15,0.533333333,0.033333333
169.59,255,255,40000,B100,0.016666667,0.333333333,0.116666667
11.09,60.66,112.63,40000,B100,0.033333333,0.6,0.083333333
1.89,12.21,23.27,40000,B100,0.1,0.666666667,0.133333333
11.19,44.6,130.37,40000,B100,0.166666667,0.4,0.066666667
138.21,255,255,40000,B100,0.05,0.133333333,0.05
7.54,35.35,78.45,40000,B100,0.133333333,0.533333333,0.033333333
9.18,46.04,108.77,40000,B100,0.066666667,0.466666667,0.166666667
62.68,234.4,255,40000,B100,0.083333333,0.266666667,0.016666667
129.89,255,255,40000,B100,0.116666667,0.066666667,0.1
29.03,94.44,255,40000,B100,0.15,0.2,0.15
105.42,255,255,40000,B100,0.1,0.066666667,0.116666667
28.71,131.97,255,40000,B100,0.016666667,0.4,0.133333333
28.96,114.41,255,40000,B100,0.066666667,0.266666667,0.166666667
141.33,255,255,40000,B100,0.033333333,0.133333333,0.083333333
2.54,13.85,31.7,40000,B100,0.133333333,0.6,0.15
5.13,28.21,51.57,40000,B100,0.083333333,0.666666667,0.066666667
19.91,98.04,201.93,40000,B100,0.05,0.533333333,0.033333333
